Age,Gender,Education,Monthly Income,Occupation,Country,City,Marital Status,Has Children,Children Use Learning Apps,Device,Internet Quality,Hours Online,Time of Day,Learning Mode,App Comfort Level,Ad Channel,Ad Click Frequency,Ad Format,Ad Message Clarity,Ad Design Appeal,Motivation,Learning Goals,Preferred Subjects,Preferred App Features,Selection Factors,Learning Challenges,Free Trial Willingness,Courses Taken Last Year,Signed Up,Sign-up Reason,Paid Subscription,Payment Preference,Willingness to Spend,Non-Subscription Reasons,Satisfaction Level,Would Recommend,Features Used Most,Other Apps Used,Desired Improvement
45-54,Male,Undergraduate,1000-2000,Working Professional,Jersey,South Collin,Single,No,Not applicable,Smart TV,Excellent,2-4,Evening,Self-paced,3,WhatsApp,Sometimes,Text,Yes,Neutral,"Peer recommendation, Career growth, Certification, Academic help, Other, Skill development","Improve current job skills, Other, Pass exams, Earn certifications","Humanities, Science, Exam prep, Arts","Other, Quizzes, Certificates, Live classes, Personalized content","Content quality, Customer support, Peer reviews, Tutor quality","Cost, Boring content, Lack of support, Distractions, Technical issues, Time management",4,0,No,Lack of interest,No,Monthly subscription,<10,"Price, Complicated signup, Privacy concerns, Not enough content, Prefer free content",5,No,"Quizzes, Leaderboards, Community forums, Other, Discussion boards","Khan Academy, Byju’s, Skillshare, edX",Improved interaction
18-24,Non-binary/Other,Postgraduate,500-1000,Working Professional,Qatar,Amandaberg,Single,No,Not applicable,Smartphone,Excellent,>6,Evening,One-on-one,3,WhatsApp,Never,Image,Yes,Appealing,"Career growth, Certification, Other, Academic help, Skill development, Hobby learning","Switch careers, Get a new job, Improve current job skills, Other, Personal enrichment, Networking","Science, Languages, Exam prep, Humanities, Business, Other","Quizzes, Peer interaction, Other, Gamification, Recorded videos","Content quality, Tutor quality, Customer support, Peer reviews, Price, App design","Lack of support, Boring content, Other, Distractions",2,3-5,Yes,Interesting content,No,Monthly subscription,>100,"Complicated signup, Lack of reviews, Privacy concerns, No payment method, Other, Prefer free content",4,Yes,"Other, Leaderboards, Discussion boards, Notes/highlighting","Udemy, Other, Coursera, Khan Academy, Skillshare",More affordable
45-54,Male,High School,500-1000,Retired,Cyprus,New Stephen,Married,No,Not applicable,Smartphone,Excellent,4-6,Evening,Blended,3,Other,Often,Text,Yes,Very appealing,"Hobby learning, Academic help, Skill development, Other, Certification, Parental suggestion","Get a new job, Personal enrichment, Other, Switch careers, Networking, Pass exams","Arts, Business, Languages, Exam prep, Science","Offline access, Other, Certificates, Peer interaction, Recorded videos, Live classes","Peer reviews, Other, Certification, Content quality, Tutor quality","Cost, Time management, Lack of motivation, Lack of support",5,>10,Yes,Trust in brand,No,Monthly subscription,20-50,"No payment method, Lack of reviews, Other, Prefer free content, Privacy concerns, Price",4,Yes,"Notes/highlighting, Other, Quizzes, Discussion boards","Unacademy, Byju’s, None, edX, Coursera",Improved interaction
35-44,Female,Postgraduate,1000-2000,Working Professional,San Marino,Port Robertfort,Single,No,Not applicable,Tablet,Good,4-6,Night,Live classes,4,YouTube,Often,Influencer post,Yes,Appealing,"Parental suggestion, Hobby learning, Career growth, Other, Skill development, Peer recommendation","Improve current job skills, Networking, Other, Switch careers, Get a new job","Business, Technology, Languages, Arts","Peer interaction, Personalized content, Recorded videos, Gamification, Quizzes","Flexibility, Other, Customer support, Price","Poor internet, Boring content, Lack of motivation, Cost, Other, Distractions",5,1-2,Yes,Trust in brand,No,Annual subscription,<10,"Not enough content, No payment method, Complicated signup, Privacy concerns",3,Yes,"Progress tracking, Community forums, Live sessions, Other, Downloadable resources, Discussion boards","edX, Udemy, Khan Academy, None, Skillshare, Coursera",More live sessions
35-44,Male,Other,<500,Student,Mongolia,Angelabury,Single,Yes,Not applicable,Smartphone,Good,4-6,Afternoon,Live classes,3,Instagram,Sometimes,Video,Yes,Neutral,"Exam preparation, Other, Academic help, Peer recommendation","Pass exams, Switch careers, Networking, Get a new job","Exam prep, Languages, Other, Humanities","Certificates, Offline access, Other, Gamification, Personalized content","Price, Peer reviews, Flexibility, App design, Tutor quality","Cost, Boring content, Other, Time management, Lack of motivation, Poor internet",3,1-2,Yes,Interesting content,Yes,Monthly subscription,20-50,,3,No,"Downloadable resources, Leaderboards, Discussion boards, Quizzes, Live sessions, Community forums","Coursera, None, Khan Academy, Udemy, edX, Unacademy",More live sessions
18-24,Male,Postgraduate,<500,Student,Italy,Andreaville,Single,Yes,Not applicable,Smartphone,Good,2-4,Early morning,Group sessions,4,YouTube,Rarely,Influencer post,Somewhat,Appealing,"Certification, Academic help, Hobby learning, Exam preparation","Networking, Improve current job skills, Get a new job, Other, Start a business","Technology, Science, Exam prep, Arts, Other","Other, Peer interaction, Gamification, Quizzes, Recorded videos","Flexibility, Price, Certification, Customer support, Content quality","Time management, Lack of motivation, Distractions, Other",5,1-2,No,Interesting content,No,Annual subscription,10-20,"Not enough content, Prefer free content, Other, Complicated signup, No payment method",5,Yes,"Progress tracking, Downloadable resources, Leaderboards, Discussion boards","Byju’s, edX, None, Khan Academy, Coursera, Skillshare",Better support
25-34,Male,Undergraduate,1000-2000,Working Professional,Guinea,East Carolynport,Single,No,Not applicable,Laptop/PC,Good,4-6,Afternoon,Live classes,5,Google Search,Often,Video,Yes,Appealing,"Academic help, Career growth, Exam preparation, Skill development","Start a business, Networking, Other, Improve current job skills, Personal enrichment","Humanities, Exam prep, Languages, Business","Offline access, Quizzes, Gamification, Certificates, Recorded videos, Other","Certification, Customer support, Other, Tutor quality, Peer reviews, Flexibility","Boring content, Lack of support, Technical issues, Other, Cost, Poor internet",2,1-2,Yes,Unclear benefits,No,Annual subscription,20-50,"Privacy concerns, Lack of reviews, Complicated signup, Price, Not enough content, No payment method",5,Yes,"Quizzes, Other, Live sessions, Progress tracking","Unacademy, Byju’s, None, Udemy, Other, edX",Improved interaction
25-34,Male,Undergraduate,1000-2000,Working Professional,Guam,East Elizabethshire,Single,No,Not applicable,Other,Good,4-6,Early morning,One-on-one,3,Facebook,Sometimes,Text,Yes,Neutral,"Hobby learning, Skill development, Other, Parental suggestion","Personal enrichment, Improve current job skills, Earn certifications, Networking, Start a business","Arts, Business, Science, Humanities, Technology","Live classes, Quizzes, Peer interaction, Personalized content","App design, Price, Peer reviews, Content quality, Tutor quality, Flexibility","Poor internet, Lack of motivation, Boring content, Distractions, Time management",4,6-10,Yes,Parental advice,No,Pay per course,10-20,"Other, Not enough content, Complicated signup, Prefer free content",5,Yes,"Live sessions, Community forums, Other, Downloadable resources, Notes/highlighting","Coursera, Udemy, None, Byju’s",More affordable
<18,Male,Postgraduate,1000-2000,Working Professional,French Polynesia,Amandaview,Single,Yes,Yes,Laptop/PC,Excellent,>6,Afternoon,Self-paced,3,Instagram,Never,Text,Somewhat,Very appealing,"Exam preparation, Parental suggestion, Certification, Skill development","Earn certifications, Other, Get a new job, Start a business, Improve current job skills, Pass exams","Languages, Science, Technology, Humanities, Arts","Live classes, Offline access, Certificates, Quizzes, Gamification, Recorded videos","Peer reviews, Other, Customer support, Tutor quality, App design","Time management, Other, Technical issues, Poor internet, Boring content",5,3-5,Yes,Interesting content,Yes,Free only,20-50,,5,No,"Live sessions, Other, Notes/highlighting, Community forums, Quizzes","Coursera, Skillshare, Unacademy, None, Byju’s",Better UI
35-44,Male,Undergraduate,500-1000,Working Professional,Jordan,Brendachester,Single,No,Not applicable,Tablet,Poor,>6,Afternoon,Self-paced,4,WhatsApp,Often,Text,Somewhat,Neutral,"Other, Hobby learning, Academic help, Career growth, Parental suggestion","Improve current job skills, Start a business, Pass exams, Other, Earn certifications","Humanities, Business, Languages, Technology, Exam prep","Quizzes, Peer interaction, Recorded videos, Gamification","Other, Price, Tutor quality, Flexibility, Certification","Cost, Distractions, Lack of support, Lack of motivation",4,0,No,Interesting content,No,Annual subscription,10-20,"Prefer free content, No payment method, Lack of reviews, Privacy concerns, Price",5,Yes,"Progress tracking, Leaderboards, Quizzes, Notes/highlighting, Live sessions, Community forums","Skillshare, None, Coursera, Unacademy, Udemy",More languages
35-44,Female,Undergraduate,<500,Working Professional,Barbados,Matthewtown,Single,Yes,Not applicable,Smartphone,Excellent,4-6,Night,Live classes,5,Facebook,Often,Text,Yes,Neutral,"Career growth, Peer recommendation, Academic help, Other","Switch careers, Earn certifications, Other, Improve current job skills, Start a business","Languages, Arts, Exam prep, Science, Technology, Humanities","Quizzes, Recorded videos, Certificates, Live classes","Customer support, Other, Tutor quality, Peer reviews, Content quality, Certification","Poor internet, Distractions, Other, Boring content",2,1-2,Yes,Interesting content,Yes,Annual subscription,>100,,5,Yes,"Other, Downloadable resources, Discussion boards, Notes/highlighting, Progress tracking, Live sessions","None, Unacademy, Udemy, Byju’s, Skillshare",More courses
55+,Female,Postgraduate,1000-2000,Student,Djibouti,Tammyfort,Widowed,Yes,Not applicable,Smartphone,Good,2-4,Night,Live classes,1,Google Search,Often,Video,No,Appealing,"Certification, Other, Skill development, Peer recommendation, Hobby learning, Career growth","Start a business, Other, Personal enrichment, Networking, Get a new job, Switch careers","Technology, Humanities, Languages, Exam prep","Gamification, Peer interaction, Quizzes, Offline access, Certificates","Flexibility, Tutor quality, Price, Peer reviews, Other, Content quality","Poor internet, Other, Time management, Distractions, Lack of support",4,3-5,Yes,Unclear benefits,No,Free only,10-20,"Not enough content, Other, Lack of reviews, Price",4,Yes,"Other, Discussion boards, Quizzes, Progress tracking, Live sessions, Notes/highlighting","Khan Academy, Coursera, Udemy, Unacademy, edX, Other",Better UI
25-34,Female,High School,1000-2000,Student,Thailand,North Charlesland,Single,Yes,Not applicable,Smartphone,Good,1-2,Afternoon,One-on-one,2,WhatsApp,Rarely,Influencer post,Yes,Neutral,"Peer recommendation, Other, Career growth, Certification, Parental suggestion","Get a new job, Other, Personal enrichment, Networking, Switch careers, Earn certifications","Exam prep, Languages, Business, Technology, Arts, Other","Gamification, Other, Quizzes, Recorded videos","Flexibility, App design, Tutor quality, Other","Other, Technical issues, Poor internet, Cost, Lack of motivation",3,6-10,Yes,Interesting content,Yes,Annual subscription,<10,,5,No,"Other, Community forums, Notes/highlighting, Progress tracking","Skillshare, Byju’s, Udemy, edX, Other, Khan Academy",Improved interaction
25-34,Female,Postgraduate,500-1000,Working Professional,Central African Republic,West Marymouth,Married,Yes,Not applicable,Laptop/PC,Good,4-6,Evening,Live classes,4,YouTube,Never,Image,Yes,Neutral,"Skill development, Peer recommendation, Other, Academic help","Networking, Earn certifications, Pass exams, Improve current job skills","Exam prep, Technology, Humanities, Other, Business","Live classes, Quizzes, Personalized content, Certificates, Recorded videos","App design, Other, Peer reviews, Flexibility","Technical issues, Distractions, Boring content, Lack of support",5,6-10,Yes,Value for money,Yes,Annual subscription,10-20,,5,Yes,"Leaderboards, Quizzes, Community forums, Discussion boards, Live sessions, Other","Other, Byju’s, Coursera, Unacademy",Better support
35-44,Male,Undergraduate,<500,Working Professional,Saudi Arabia,East Harold,Married,Yes,Not applicable,Smartphone,Excellent,1-2,Evening,Blended,3,Google Search,Sometimes,Text,Yes,Very appealing,"Academic help, Other, Hobby learning, Career growth, Certification","Get a new job, Other, Improve current job skills, Start a business, Networking","Exam prep, Technology, Business, Languages, Arts, Other","Live classes, Gamification, Quizzes, Other, Personalized content, Peer interaction","Flexibility, App design, Customer support, Certification, Content quality, Other","Poor internet, Time management, Distractions, Boring content, Technical issues, Cost",5,3-5,No,Trust in brand,No,Pay per course,<10,"Price, Prefer free content, Privacy concerns, Complicated signup",3,No,"Live sessions, Downloadable resources, Community forums, Other","None, Byju’s, Coursera, Khan Academy, Unacademy, Other",Better UI
25-34,Female,Undergraduate,1000-2000,Working Professional,Angola,Hectorfurt,Married,Yes,Not applicable,Smartphone,Good,4-6,Evening,Blended,4,Facebook,Sometimes,Text,No,Very appealing,"Peer recommendation, Certification, Career growth, Skill development","Improve current job skills, Pass exams, Networking, Other, Start a business, Get a new job","Languages, Exam prep, Business, Science","Gamification, Offline access, Quizzes, Recorded videos, Live classes","Content quality, Peer reviews, Tutor quality, Flexibility","Other, Poor internet, Distractions, Time management, Lack of support, Boring content",3,3-5,Yes,Unclear benefits,Yes,Pay per course,10-20,,3,No,"Downloadable resources, Leaderboards, Live sessions, Community forums","Unacademy, Udemy, Other, None",Better UI
